Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,1.151951,1.339144,0.722059,0.865360,0.865360,2381347
2022-02-01,0.865392,1.003205,0.567582,0.771183,0.771183,1467976
2022-03-01,0.771183,1.251815,0.681551,1.028115,1.028115,1943166
2022-04-01,1.028509,1.156136,0.607037,0.619668,0.619668,3222131
2022-05-01,0.619701,0.716947,0.286810,0.445823,0.445823,1903887
2022-06-01,0.445906,0.487702,0.309145,0.353369,0.353369,1460131
2022-07-01,0.353642,0.491105,0.330598,0.438440,0.438440,1430733
2022-08-01,0.438443,1.054300,0.437372,0.534812,0.534812,2918159
2022-09-01,0.535222,1.273859,0.409860,0.934543,0.934543,3695136
2022-10-01,0.934555,1.271089,0.401337,0.454060,0.454060,3546125
2022-11-01,0.454098,0.519799,0.300952,0.316863,0.316863,1953736
2022-12-01,0.316863,0.377879,0.229324,0.240118,0.240118,4265709
