Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,227.899994,238.699997,196.550003,202.899994,200.116516,7136643
2022-02-01,205.800003,211.899994,182.199997,192.750000,190.105759,8569654
2022-03-01,192.600006,202.899994,164.949997,198.699997,195.974136,11535773
2022-04-01,198.699997,212.899994,190.800003,203.000000,200.215149,6541741
2022-05-01,200.699997,205.899994,170.850006,181.399994,180.097595,7719991
2022-06-01,182.250000,183.550003,161.399994,175.199997,173.942123,7911240
2022-07-01,173.750000,207.199997,173.350006,206.199997,204.719543,6433187
2022-08-01,206.500000,215.800003,192.000000,193.199997,191.812881,5480529
2022-09-01,192.100006,202.300003,188.149994,191.699997,190.323654,7570345
2022-10-01,190.000000,200.100006,183.000000,199.500000,198.067657,6016978
2022-11-01,200.300003,213.300003,192.199997,211.899994,210.378616,6334707
2022-12-01,213.500000,217.100006,197.550003,200.199997,198.762619,5537632
